bin,frequency_cycles_per_pixel,raw_fft_magnitude_px,amplitude_px,preprocessing
0,0.0,2.65433026259909,0.06677560409054313,linear_detrend_then_hann
1,0.00625,4.795827812137841,0.12064975628019722,linear_detrend_then_hann
2,0.0125,4.259641889302685,0.10716080224660841,linear_detrend_then_hann
3,0.018750000000000003,0.2716153540527165,0.006833090667992866,linear_detrend_then_hann
4,0.025,1.4033028642881231,0.03530321671165089,linear_detrend_then_hann
5,0.03125,2.690590401806532,0.06768780885047877,linear_detrend_then_hann
6,0.037500000000000006,5.433411228620598,0.13668959065712194,linear_detrend_then_hann
7,0.043750000000000004,4.663839755064091,0.11732930201419094,linear_detrend_then_hann
8,0.05,2.719520844950557,0.0684156187408945,linear_detrend_then_hann
9,0.05625,2.1258793168819357,0.053481240676275105,linear_detrend_then_hann
10,0.0625,1.33722123767825,0.033640785853540876,linear_detrend_then_hann
11,0.06875,1.7257518447310898,0.043415140747951934,linear_detrend_then_hann
12,0.07500000000000001,2.3203680082754303,0.05837403794403597,linear_detrend_then_hann
13,0.08125,0.49325598513830377,0.012408955600963615,linear_detrend_then_hann
14,0.08750000000000001,2.274649324512545,0.057223882377674076,linear_detrend_then_hann
15,0.09375,1.3874078340692328,0.03490334173759076,linear_detrend_then_hann
16,0.1,0.3059397119866562,0.0076965965279661925,linear_detrend_then_hann
17,0.10625000000000001,1.042888475177264,0.026236188054773932,linear_detrend_then_hann
18,0.1125,0.4138696181271296,0.010411814292506403,linear_detrend_then_hann
19,0.11875000000000001,2.1443689281043192,0.05394638812841054,linear_detrend_then_hann
20,0.125,2.4571377071328024,0.061814785085101936,linear_detrend_then_hann
21,0.13125,1.4697708793484547,0.036975368033923386,linear_detrend_then_hann
22,0.1375,0.5885519654296931,0.014806338752948253,linear_detrend_then_hann
23,0.14375000000000002,0.24007655282960216,0.006039661706405085,linear_detrend_then_hann
24,0.15000000000000002,0.4735205017305645,0.011912465452341243,linear_detrend_then_hann
25,0.15625,0.28085350234418377,0.0070654969143190876,linear_detrend_then_hann
26,0.1625,0.41388076445734573,0.01041209470332945,linear_detrend_then_hann
27,0.16875,0.2769880327274378,0.0069682523956588124,linear_detrend_then_hann
28,0.17500000000000002,0.42355208713158266,0.010655398418404594,linear_detrend_then_hann
29,0.18125000000000002,1.217658365790732,0.03063291486265992,linear_detrend_then_hann
30,0.1875,2.433690868101869,0.061224927499418075,linear_detrend_then_hann
31,0.19375,1.4480082014004336,0.036427879280514046,linear_detrend_then_hann
